commonName,manufacturerAbbrev,impulseClass,type,diameter,length,totalWeightG,propWeightG,propInfo,avgThrustN,maxThrustN,burnTimeS,totImpulseNs,certOrg,availability,source_url
J474,Loki,J,reload,38,416.9,755.6,360,Cocktail,474,1243,1.49,709.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/J474-CT/
H169,AeroTech,H,SU,29,220.7,202.2,112,Super White Lightning,168.8,231.4,1.38,232.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H169WS-13/
K455,AeroTech,K,SU,54,674.9,2286,1456,White Lightning/Warp 9,455.4,1308,5.09,2328,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K455NW-17/
L1256,AeroTech,L,reload,75,560.8,3756,1964,Super White Lightning,1257,1509,3.01,3785,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/L1256WS/
M2050,AeroTech,M,reload,75,699.7,4559,2268,Propellant X,2048,2544,2.7,5493,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M2050X-P/
O5500,AeroTech,O,SU,98,1507,16780,9779,Propellant X,5515,7552,4.03,21380,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/O5500X-PS/
K475,AMW,K,reload,54,403,1493,728.6,White Wolf,474.1,588.3,2.94,1394,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AMW/K475/
I175,AeroTech,I,SU,38,214,348,168,Super White Lightning,176.4,260.4,1.89,333,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I175WS/
H13,AeroTech,H,SU,29,213.4,203.4,116.4,Super Thunder,13.89,43.51,15.22,211.2,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H13ST/
K76,AeroTech,K,SU,54,368,1278,840,White Lightning/Warp 9,66.76,299.7,20.22,1350,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K76WN-P/
L1940,AeroTech,L,reload,75,560,3856,1825,Propellant X,1939,2319,2.23,4329,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/L1940X/
I40,AeroTech,I,SU,38,203,359.9,197,Warp 9,37.73,101.7,9.95,374.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I40N-P/
J615,AeroTech,J,reload,54,240.4,801.7,370.5,Super Thunder,615.1,933.9,1.2,745.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J615ST-20A/
N1975,AeroTech,N,SU,98,1110,12210,7676,White Lightning,1971,2903,7.04,13890,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/N1975W-PS/
L2350,Estes,L,SU,152,210,5550,1680,,2129,2585,1.82,3886,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/L2350/
K750,AeroTech,K,reload,75,267,1948,595,Super Thunder,746.6,835.7,1.74,1299,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K750ST/
K1800,AeroTech,K,reload,75,402,2772,1113,Super Thunder,1777,2082,1.37,2444,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K1800ST-P/
K62,AeroTech,K,SU,54,274,1277,831,Warp 9,62.54,258.7,23.1,1439,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K62N/
J1265,AeroTech,J,SU,54,397,1095,507,Super Thunder,1261,1745,0.85,1073,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J1265T/
M2225,AeroTech,M,reload,75,692,4695,2331,Super White Lightning,2239,2418,2.32,5205,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M2225WS/
N4000,AeroTech,N,reload,98,1433,16380,9800,White Lightning,3906,5398,4.65,18180,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/N4000W-PS/
H14,AeroTech,H,SU,29,240,230,134,Super Thunder,13.21,42.13,18.26,240.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H14ST/
O6000,AeroTech,O,SU,152,1120,31520,22000,White Lightning,5853,9564,6.77,39620,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/O6000W/
N5500,Loki,N,reload,98,1383,14860,9182,Loki White,5344,6678,3.58,19140,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/N5500LW/
J670,Loki,J,reload,54,330,1204,578,Loki Blue,669.9,824.1,1.89,1270,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/J670LB/
I426,Loki,I,reload,38,306.8,553.1,234,Loki Blue,425.7,718.3,1.19,505,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/I426LB/
L2775,AeroTech,L,reload,75,558.2,3479,1418,Super Thunder,2774,3096,1.14,3150,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/L2775ST-PS/
N2700,AeroTech,N,reload,75,1233,9058,5275,White Lightning,2693,5554,3.8,10640,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/N2700W-PS/
J550,AeroTech,J,reload,54,231,828,371,Super Thunder,557,649,1.31,732,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J550ST-14/
N3120,AeroTech,N,SU,75,1156,8200,4546,Propellant X,3121,4084,3.31,10330,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/N3120X-PS/
